response_time,product_quality,support_experience,issue_resolved,tone,repeat_customer,satisfaction
fast,high,good,yes,positive,yes,Satisfied
fast,high,good,yes,positive,no,Satisfied
fast,high,average,yes,positive,yes,Satisfied
fast,medium,good,yes,positive,yes,Satisfied
fast,high,good,yes,neutral,yes,Satisfied
fast,high,good,no,positive,yes,Satisfied
medium,high,good,yes,positive,yes,Satisfied
fast,medium,average,yes,positive,yes,Satisfied
fast,high,good,yes,neutral,no,Satisfied
medium,high,good,yes,neutral,yes,Satisfied
fast,medium,good,yes,neutral,yes,Satisfied
fast,high,average,yes,neutral,yes,Satisfied
medium,medium,average,yes,neutral,yes,Neutral
medium,medium,good,no,neutral,yes,Neutral
medium,high,average,no,neutral,no,Neutral
fast,medium,average,no,neutral,no,Neutral
medium,medium,average,yes,neutral,no,Neutral
slow,high,good,yes,neutral,yes,Neutral
medium,low,good,yes,neutral,yes,Neutral
medium,medium,poor,yes,neutral,yes,Neutral
fast,low,average,yes,negative,no,Neutral
medium,medium,average,no,negative,yes,Neutral
slow,medium,average,yes,neutral,no,Neutral
medium,high,poor,no,neutral,no,Neutral
slow,low,poor,no,negative,no,Dissatisfied
slow,low,poor,yes,negative,no,Dissatisfied
slow,medium,poor,no,negative,no,Dissatisfied
slow,low,average,no,negative,no,Dissatisfied
medium,low,poor,no,negative,no,Dissatisfied
slow,medium,poor,no,negative,yes,Dissatisfied
slow,low,poor,no,neutral,no,Dissatisfied
slow,high,poor,no,negative,no,Dissatisfied
medium,low,poor,no,negative,yes,Dissatisfied
slow,medium,average,no,negative,no,Dissatisfied
slow,low,good,no,negative,no,Dissatisfied
medium,low,poor,yes,negative,no,Dissatisfied
fast,low,poor,no,negative,no,Dissatisfied
slow,medium,poor,no,neutral,no,Dissatisfied
slow,low,average,no,neutral,no,Dissatisfied
medium,medium,poor,no,negative,no,Dissatisfied
