id,daily_usage_hours,sleep_time,primary_usage_type,notification_check_frequency,purpose,label
1,1.5,early,study,low,learning,Healthy
2,2.0,normal,study,low,learning,Healthy
3,1.0,early,social,low,communication,Healthy
4,2.5,normal,study,medium,learning,Healthy
5,1.5,early,study,low,communication,Healthy
6,2.0,normal,social,low,communication,Healthy
7,1.0,early,study,low,learning,Healthy
8,3.0,normal,study,medium,learning,Healthy
9,2.0,early,social,low,learning,Healthy
10,1.5,normal,study,low,communication,Healthy
11,3.5,normal,social,medium,communication,Moderate
12,4.0,normal,entertainment,medium,scrolling,Moderate
13,3.0,late,social,medium,communication,Moderate
14,4.5,normal,social,high,communication,Moderate
15,3.5,late,entertainment,medium,scrolling,Moderate
16,3.0,normal,entertainment,medium,scrolling,Moderate
17,4.0,normal,social,medium,communication,Moderate
18,3.5,normal,study,high,learning,Moderate
19,4.0,late,social,medium,scrolling,Moderate
20,3.0,normal,entertainment,high,scrolling,Moderate
21,5.0,late,entertainment,high,scrolling,Unhealthy
22,6.0,late,entertainment,high,scrolling,Unhealthy
23,7.0,late,entertainment,high,scrolling,Unhealthy
24,5.5,late,social,high,scrolling,Unhealthy
25,6.5,late,entertainment,high,scrolling,Unhealthy
26,5.0,late,entertainment,high,scrolling,Unhealthy
27,8.0,late,entertainment,high,scrolling,Unhealthy
28,5.5,late,social,high,scrolling,Unhealthy
29,6.0,late,entertainment,high,scrolling,Unhealthy
30,7.5,late,entertainment,high,scrolling,Unhealthy
31,1.8,early,study,low,learning,Healthy
32,2.2,normal,study,low,communication,Healthy
33,1.2,early,social,low,learning,Healthy
34,3.8,normal,social,medium,scrolling,Moderate
35,4.2,late,entertainment,medium,scrolling,Moderate
36,3.2,normal,social,high,communication,Moderate
37,5.8,late,entertainment,high,scrolling,Unhealthy
38,6.2,late,social,high,scrolling,Unhealthy
39,4.8,late,entertainment,high,scrolling,Unhealthy
40,2.8,normal,study,medium,learning,Healthy
41,3.6,late,entertainment,medium,scrolling,Moderate
42,5.2,late,social,high,scrolling,Unhealthy
43,1.4,early,study,low,learning,Healthy
44,4.4,normal,social,high,scrolling,Moderate
45,6.8,late,entertainment,high,scrolling,Unhealthy
